Year,droughts_users,droughts_original_tweets,droughts_w_retweets,heatwaves_users,heatwaves_original_tweets,heatwaves_w_retweets,floods_users,floods_original_tweets,floods_w_retweets
2008,54,79,79,81,106,107,61,104,104
2009,1254,2188,2280,1323,1800,1841,1439,1979,2044
2010,1352,2056,2544,3081,4718,5374,2918,4218,5270
2011,5171,8391,12364,4039,5788,7741,7227,11946,15882
2012,11004,19198,30879,10308,17902,27510,7697,12219,22049
2013,7175,12208,20561,8481,12825,21845,11845,19742,35093
2014,13796,24933,51360,10653,16921,31947,16234,35921,65893
2015,21046,39637,93709,12465,21473,46161,20231,34675,79666
2016,11848,22036,74680,11431,21417,57433,29561,50907,121278
2017,13684,22212,73897,19547,30144,109449,30079,46663,185588
